Name,Division,Wins
New York Yankees,American League East,86
Toronto Blue Jays,American League East,85
Baltimore Orioles,American League East,84
Boston Red Sox,American League East,84
Tampa Bay Rays,American League East,78
Detroit Tigers,American League Central,87
Kansas City Royals,American League Central,81
Minnesota Twins,American League Central,78
Cleveland Guardians,American League Central,75
Chicago White Sox,American League Central,68
Seattle Mariners,American League West,88
Houston Astros,American League West,81
Texas Rangers,American League West,78
Athletics,American League West,78
Los Angeles Angels,American League West,73
Atlanta Braves,National League East,92
New York Mets,National League East,90
Philadelphia Phillies,National League East,87
Miami Marlins,National League East,75
Washington Nationals,National League East,69
Chicago Cubs,National League Central,86
Milwaukee Brewers,National League Central,83
Pittsburgh Pirates,National League Central,82
Cincinnati Reds,National League Central,79
St. Louis Cardinals,National League Central,75
Los Angeles Dodgers,National League West,100
San Francisco Giants,National League West,82
Arizona Diamondbacks,National League West,81
San Diego Padres,National League West,80
Colorado Rockies,National League West,65
